time,c,d,r
1,0.038243814,-0.139685811,-0.041037829
2,0.035488924,0.066637794,0.139808473
3,0.011135564,0.060121765,0.098999892
4,0.065275842,-0.015548595,0.089697058
5,0.044419714,-0.018336139,0.022571397
6,0.04769839,0.01983362,0.086112798
7,0.037832485,0.215909973,0.280875111
8,0.048501049,0.089402095,0.150461031
9,0.028007655,0.074514915,0.115415309
10,0.024796082,-0.118927049,-0.073560918
11,-0.049709852,-0.137993796,-0.142849515
12,0.073827599,0.133750273,0.328385098
13,0.005803772,0.067022924,0.060646838
14,-0.006403265,-0.178042747,-0.142810846
15,-0.03797448,-0.020874365,0.026207991
16,0.048306851,-0.07473945,0.063577378
17,0.029676492,0.037915327,0.089816154
18,-0.021876956,0.022255654,0.036897516
19,0.044815462,0.06801157,0.194610231
20,0.026932064,0.131911019,0.180759697
21,0.042169911,0.035154573,0.103244257
22,0.017486271,-0.050423856,-0.017429666
23,0.007714291,-0.026522916,0.028873452
24,-0.006597976,-0.112530375,-0.068116758
25,0.058655541,0.139694049,0.278739893
26,-0.041507749,0.13281573,0.102900123
27,0.060633395,-0.108779854,0.03044401
28,0.021890547,-0.019747088,0.012168356
29,-0.047571868,-0.024473453,-0.024193398
30,-0.004527137,-0.078598791,0.021940402
31,0.030123768,-0.062948113,0.032639609
32,0.027368155,0.03277168,0.098580527
33,0.021315867,0.048700424,0.105929061
34,0.030495819,-0.020117713,0.04515759
35,-0.018168665,-0.014007233,0.00487105
36,0.003560664,0.30173937,0.406669807
37,0.0294929,-0.214814503,-0.165067475
38,-0.075483918,0.111478949,0.103155661
39,0.012803467,-0.169294224,-0.043000729
40,0.04096293,0.041230078,0.143668485
41,0.020633334,0.119620177,0.167610498
42,0.033612978,0.013528219,0.0793851
43,0.008423379,-0.095733573,-0.06420251
44,0.086191278,0.024569543,0.164915208
45,-0.009057233,0.330166367,0.324613845
46,0.02887214,-0.056526012,0.013232086
47,0.038940731,0.140893139,0.225013722
48,0.072647807,0.055636963,0.140222819
49,-0.01527742,0.043781592,0.023903829
50,0.008476245,0.140291894,0.231768145
51,0.031533469,0.020984558,0.095480585
52,0.014083487,0.122190114,0.174897915
53,0.083102292,0.068141641,0.187670641
54,0.075183438,0.05722768,0.107754903
55,0.029523299,0.041552725,0.058711928
56,0.016030328,-0.067109699,-0.025064862
57,-0.041844526,-0.037003792,-0.023573783
58,0.031623325,-0.120954977,0.00424379
59,0.056674961,0.058539233,0.15487292
60,-0.05229721,-0.170535073,-0.222709794
61,-0.014846782,-0.058785087,0.048934018
62,-0.016348552,-0.123409915,-0.064750527
63,-0.010311201,-0.02511115,0.051592109
64,-0.022151147,0.007666375,0.063337817
65,0.014770498,-0.069295514,0.022668065
66,0.05392537,0.034454568,0.138891788
67,0.075200219,-0.14350846,-0.076634919
68,0.043918233,0.074317535,0.120903921
69,0.035256628,-0.071152697,-0.028273405
70,0.040276992,0.228123097,0.314373132
71,-0.011961052,-0.098393877,-0.106816699
72,-0.007330317,0.135317003,0.219558183
73,-0.023069631,-0.071790313,-0.036653377
74,-0.057257849,-0.228676266,-0.204533673
75,0.045642061,0.011335237,0.186265486
76,0.059607506,0.213888265,0.300620105
77,-0.050251595,-0.33054641,-0.405633201
78,0.038840932,-0.171135897,-0.013870636
79,-0.010235935,-0.08855334,-0.064692794
80,0.033798074,-0.060660451,0.044442452
81,0.009789082,-0.193045983,-0.161714869
82,0.003909074,0.039503847,0.113519468
